=== Computing metrics from saved activations ===
--- pythia-14m ---
Computing metrics for 58/58 steps using 18 workers...
  Step 128000: rankme=233.676, alpha=0.631, r2_100=0.999
  Step 64: rankme=6.034, alpha=0.912, r2_100=0.991
  Step 114000: rankme=221.082, alpha=0.649, r2_100=0.999
  Step 35000: rankme=140.357, alpha=0.769, r2_100=0.997
  Step 140000: rankme=238.481, alpha=0.641, r2_100=0.999
  Step 79000: rankme=120.972, alpha=0.888, r2_100=0.996
  Step 116000: rankme=225.892, alpha=0.646, r2_100=0.999
  Step 29000: rankme=149.706, alpha=0.762, r2_100=0.996
  Step 93000: rankme=177.513, alpha=0.769, r2_100=1.000
  Step 38000: rankme=132.043, alpha=0.780, r2_100=0.996
  Step 32: rankme=38.617, alpha=0.782, r2_100=0.981
  Step 50000: rankme=115.490, alpha=0.778, r2_100=0.995
  Step 134000: rankme=239.233, alpha=0.623, r2_100=0.999
  Step 53000: rankme=110.961, alpha=0.783, r2_100=0.996
  Step 8: rankme=79.087, alpha=0.812, r2_100=0.983
  Step 15000: rankme=193.641, alpha=0.721, r2_100=0.996
  Step 137000: rankme=238.475, alpha=0.636, r2_100=1.000
  Step 27000: rankme=154.721, alpha=0.756, r2_100=0.995
  Step 24000: rankme=169.652, alpha=0.734, r2_100=0.996
  Step 108000: rankme=214.041, alpha=0.664, r2_100=0.999
  Step 18000: rankme=185.234, alpha=0.728, r2_100=0.996
  Step 9000: rankme=204.174, alpha=0.712, r2_100=0.997
  Step 21000: rankme=171.167, alpha=0.743, r2_100=0.996
  Step 512: rankme=68.951, alpha=1.128, r2_100=0.998
  Step 102000: rankme=204.957, alpha=0.681, r2_100=0.999
  Step 56000: rankme=104.260, alpha=0.802, r2_100=0.995
  Step 105000: rankme=207.578, alpha=0.679, r2_100=0.999
  Step 1000: rankme=120.371, alpha=0.888, r2_100=0.999
  Step 67000: rankme=102.633, alpha=0.873, r2_100=0.989
Saved 58 results to results/results_pythia-70m.npy
--- pythia-160m ---
Computing metrics for 58/58 steps using 18 workers...
  Step 16: rankme=101.756, alpha=0.724, r2_100=0.987
  Step 131000: rankme=288.371, alpha=0.686, r2_100=0.996
  Step 119000: rankme=279.705, alpha=0.686, r2_100=0.993
  Step 32000: rankme=247.387, alpha=0.773, r2_100=0.998
  Step 64000: rankme=214.050, alpha=0.801, r2_100=0.997
  Step 99000: rankme=275.395, alpha=0.754, r2_100=0.996
  Step 256: rankme=25.209, alpha=1.463, r2_100=0.999
  Step 87000: rankme=196.978, alpha=0.833, r2_100=0.996
  Step 3000: rankme=215.434, alpha=0.766, r2_100=0.999
  Step 82000: rankme=179.281, alpha=0.833, r2_100=0.996
  Step 41000: rankme=229.082, alpha=0.774, r2_100=0.998
  Step 70000: rankme=212.721, alpha=0.806, r2_100=0.997
  Step 128: rankme=15.925, alpha=1.625, r2_100=0.994
  Step 96000: rankme=263.990, alpha=0.759, r2_100=0.996
  Step 125000: rankme=281.870, alpha=0.673, r2_100=0.995
  Step 6000: rankme=255.036, alpha=0.756, r2_100=0.998
  Step 76000: rankme=203.433, alpha=0.814, r2_100=0.996
  Step 0: rankme=95.415, alpha=0.728, r2_100=0.989
  Step 122000: rankme=283.180, alpha=0.696, r2_100=0.995
  Step 44000: rankme=237.616, alpha=0.781, r2_100=0.997
  Step 61000: rankme=216.426, alpha=0.792, r2_100=0.996
  Step 47000: rankme=229.558, alpha=0.779, r2_100=0.997
  Step 85000: rankme=186.098, alpha=0.835, r2_100=0.996
  Step 12000: rankme=261.396, alpha=0.747, r2_100=0.999
  Step 140000: rankme=282.110, alpha=0.683, r2_100=0.996
  Step 114000: rankme=278.064, alpha=0.697, r2_100=0.995
  Step 58000: rankme=217.593, alpha=0.797, r2_100=0.997
  Step 90000: rankme=222.151, alpha=0.818, r2_100=0.995
  Step 143000: rankme=276.954, alpha=0.679, r2_100=0.997
  Step 73000: rankme=201.746, alpha=0.808, r2_100=0.997
  Step 64: rankme=9.102, alpha=1.406, r2_100=0.978
  Step 35000: rankme=241.381, alpha=0.767, r2_100=0.998
  Step 128000: rankme=287.900, alpha=0.691, r2_100=0.996
  Step 111000: rankme=290.410, alpha=0.681, r2_100=0.996
  Step 79000: rankme=194.904, alpha=0.817, r2_100=0.997
  Step 116000: rankme=283.908, alpha=0.683, r2_100=0.995
  Step 93000: rankme=248.639, alpha=0.781, r2_100=0.995
  Step 38000: rankme=232.812, alpha=0.779, r2_100=0.998
  Step 29000: rankme=238.703, alpha=0.774, r2_100=0.998
  Step 18000: rankme=252.965, alpha=0.765, r2_100=0.997
  Step 134000: rankme=269.007, alpha=0.677, r2_100=0.996
  Step 53000: rankme=221.436, alpha=0.792, r2_100=0.997
  Step 512: rankme=70.354, alpha=1.158, r2_100=0.994
  Step 8: rankme=101.785, alpha=0.729, r2_100=0.988
  Step 50000: rankme=230.555, alpha=0.780, r2_100=0.997
  Step 32: rankme=16.934, alpha=0.737, r2_100=0.993
  Step 24000: rankme=251.511, alpha=0.762, r2_100=0.998
  Step 27000: rankme=243.124, alpha=0.776, r2_100=0.998
  Step 137000: rankme=300.231, alpha=0.670, r2_100=0.997
  Step 108000: rankme=287.080, alpha=0.703, r2_100=0.997
  Step 15000: rankme=261.729, alpha=0.755, r2_100=0.998
  Step 21000: rankme=251.695, alpha=0.757, r2_100=0.998
  Step 102000: rankme=277.632, alpha=0.711, r2_100=0.995
  Step 9000: rankme=264.119, alpha=0.752, r2_100=0.999
  Step 1000: rankme=125.819, alpha=0.893, r2_100=0.999
  Step 56000: rankme=224.934, alpha=0.787, r2_100=0.996
  Step 105000: rankme=277.582, alpha=0.691, r2_100=0.995
  Step 67000: rankme=203.667, alpha=0.804, r2_100=0.997
Saved 58 results to results/results_pythia-160m.npy
--- pythia-160m-deduped ---
Computing metrics for 58/58 steps using 18 workers...
  Step 119000: rankme=181.899, alpha=0.690, r2_100=0.996
  Step 41000: rankme=166.482, alpha=0.716, r2_100=0.998
  Step 64000: rankme=131.977, alpha=0.755, r2_100=0.998
  Step 0: rankme=95.415, alpha=0.728, r2_100=0.989
  Step 3000: rankme=221.536, alpha=0.755, r2_100=0.999
  Step 256: rankme=25.991, alpha=1.453, r2_100=0.999
  Step 99000: rankme=167.913, alpha=0.806, r2_100=0.997
  Step 6000: rankme=280.876, alpha=0.716, r2_100=0.999
  Step 87000: rankme=116.664, alpha=0.807, r2_100=0.996
  Step 76000: rankme=121.704, alpha=0.776, r2_100=0.998
  Step 125000: rankme=223.415, alpha=0.683, r2_100=0.995
  Step 82000: rankme=120.571, alpha=0.792, r2_100=0.997
  Step 128: rankme=15.586, alpha=1.624, r2_100=0.994
  Step 70000: rankme=137.697, alpha=0.760, r2_100=0.997
  Step 32000: rankme=189.342, alpha=0.704, r2_100=0.999
  Step 131000: rankme=245.248, alpha=0.660, r2_100=0.996
  Step 96000: rankme=147.363, alpha=0.808, r2_100=0.996
  Step 16: rankme=101.156, alpha=0.724, r2_100=0.987
  Step 85000: rankme=117.459, alpha=0.797, r2_100=0.996
  Step 58000: rankme=142.255, alpha=0.744, r2_100=0.998
  Step 73000: rankme=129.000, alpha=0.771, r2_100=0.998
  Step 128000: rankme=252.225, alpha=0.682, r2_100=0.995
  Step 122000: rankme=185.052, alpha=0.683, r2_100=0.995
  Step 12000: rankme=264.359, alpha=0.702, r2_100=0.999
  Step 90000: rankme=119.140, alpha=0.810, r2_100=0.998
