=== Computing metrics from saved activations ===
--- pythia-14m ---
All 58 steps already have metrics in results/results_pythia-14m.npy
--- pythia-31m ---
All 58 steps already have metrics in results/results_pythia-31m.npy
--- pythia-70m ---
All 58 steps already have metrics in results/results_pythia-70m.npy
--- pythia-160m ---
All 58 steps already have metrics in results/results_pythia-160m.npy
--- pythia-160m-deduped ---
All 58 steps already have metrics in results/results_pythia-160m-deduped.npy
--- pythia-410m ---
All 58 steps already have metrics in results/results_pythia-410m.npy
--- pythia-410m-deduped ---
All 58 steps already have metrics in results/results_pythia-410m-deduped.npy
--- pythia-1b ---
All 58 steps already have metrics in results/results_pythia-1b.npy
--- pythia-1b-deduped ---
Computing metrics for 58/58 steps using 18 workers...
  Step 85000: rankme=329.376, alpha=0.851, r2_100=0.998
  Step 44000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 58000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 61000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 128000: rankme=282.951, alpha=0.928, r2_100=0.998
  Step 35000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 114000: rankme=296.331, alpha=0.905, r2_100=0.998
  Step 122000: rankme=284.816, alpha=0.920, r2_100=0.997
  Step 90000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 73000: rankme=364.240, alpha=0.833, r2_100=0.998
  Step 143000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 111000: rankme=292.711, alpha=0.905, r2_100=0.997
  Step 64: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 140000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 116000: rankme=291.486, alpha=0.913, r2_100=0.997
  Step 47000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 79000: rankme=347.136, alpha=0.843, r2_100=0.998
  Step 12000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 29000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 32: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 93000: rankme=319.271, alpha=0.867, r2_100=0.998
  Step 38000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 50000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 134000: rankme=278.229, alpha=0.932, r2_100=0.998
  Step 8: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 27000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 53000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 137000: rankme=277.381, alpha=0.936, r2_100=0.998
  Step 15000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 512: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 24000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 9000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 102000: rankme=305.422, alpha=0.887, r2_100=0.998
  Step 108000: rankme=300.635, alpha=0.897, r2_100=0.997
  Step 18000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 21000: rankme=270.959, alpha=0.945, r2_100=0.998
